canonical_handle,canonical_handle_source,liquipedia_page_title,liquipedia_url,resolution_status,resolution_confidence,account_ids,steam_ids,observed_names,liquipedia_handles,legal_names,romanized_names,tournament_count,tournaments,resolution_evidence,scope_role,primary_tournaments,supplemental_tournaments
FLUFFNSTUFF,liquipedia_player_infobox.id,FLUFFNSTUFF,https://liquipedia.net/dota2/FLUFFNSTUFF,resolved_with_player_page_and_ids,high,41470731,76561198001736459 (derived),FLUFFNSTUFF,FLUFFNSTUFF,Brian Lee,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
FLX,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,FLX,,,,1,joinDOTA Masters I,observed_name_only,primary_only,joinDOTA Masters I,
fragniity,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,fragniity,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
freezer,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,39226957,76561197999492685 (derived),freezer,,,,4,The Defense Season 1 | The Premier League Season 1 | Infused Cup | joinDOTA Masters I,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | The Premier League Season 1 | Infused Cup | joinDOTA Masters I,
Frigoleet,liquipedia_player_infobox.id,Frigoleet,https://liquipedia.net/dota2/Frigoleet,resolved_with_player_page_and_ids,high,81150290,76561198041416018 (derived),Frigoleet,Frigoleet,Jesper Göthe,,1,JeeDota2 Championship #1,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,JeeDota2 Championship #1,
Funn1k,liquipedia_player_infobox.id,Funn1k,https://liquipedia.net/dota2/Funn1k,resolved_with_player_page_and_ids,high,86723143,76561198046988871 (derived),Funn1k,Funn1k | Geneva146,Гліб Липатніков,Glib Lipatnikov,2,Dota2 Star Championship | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,joinDOTA Masters I,Dota2 Star Championship
Funzii,liquipedia_player_infobox.id,Funzii,https://liquipedia.net/dota2/Funzii,resolved_with_player_page_and_ids,high,29337472,76561197989603200 (derived),Funzii,Funzii,Thibault Calonne,,5,The Defense Season 1 | DreamHack Winter 2011 | Dota2 Star Championship | JeeDota2 Championship #1 | joinDOTA Masters I,player_page_infobox | teamcard_account_id | player_page_account_id,primary_with_supplemental,The Defense Season 1 | DreamHack Winter 2011 | JeeDota2 Championship #1 | joinDOTA Masters I,Dota2 Star Championship
G,liquipedia_player_infobox.id,G,https://liquipedia.net/dota2/G,resolved_with_player_page_and_ids,high,87586992,76561198047852720 (derived),God | G,G | God | GodKillThemAll,Сергей Александрович Брагин,Sergei Bragin,4,The International 2011 | Electronic Sports World Cup 2011 | Dota2 Star Championship | StarLadder StarSeries Season 1,player_page_infobox | teamcard_link | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
g0g1,liquipedia_player_infobox.id,G0g1,https://liquipedia.net/dota2/G0g1,resolved_with_player_page_and_ids,high,43401453,76561198003667181 (derived),g0g1,g0g1 | nn | GordaN | G0g1,Гордан Прошић,Gordan Prošić,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_only,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,
garter,liquipedia_player_infobox.id,Garter,https://liquipedia.net/dota2/Garter,resolved_with_player_page_and_ids,high,86793739,76561198047059467 (derived),Garter,garter | Garter,Ylli Ramadani,,1,Electronic Sports World Cup 2011,player_page_infobox | player_page_account_id,primary_only,Electronic Sports World Cup 2011,
Ghost,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Ghost,,,,1,The Defense Season 1,teamcard_link | observed_name_only,primary_only,The Defense Season 1,
giftig,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,88018,76561197960353746 (derived),giftig,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Godot,liquipedia_player_infobox.id,Godot,https://liquipedia.net/dota2/Godot,resolved_with_player_page_and_ids,high,34726076,76561197994991804 (derived),Godot,Godot,Darcy Milho Jose,,5,The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,player_page_infobox | teamcard_account_id | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | JeeDota2 Championship #1 | Dota2Replays Brawl | joinDOTA Masters IV,
gollik,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,gollik,,,,1,Electronic Sports World Cup 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011,
grizine,liquipedia_player_infobox.id,Grizine,https://liquipedia.net/dota2/Grizine,resolved_with_player_page_and_ids,high,90199779,76561198050465507 (derived),grizine,grizine | Grizine,Ненад Лукић,Nenad Lukic,4,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_only,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1,
Grunt,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,64048945,76561198024314673 (derived),Grunt,,,,2,The Defense Season 1 | DreamHack Winter 2011,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | DreamHack Winter 2011,
Gyu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Gyu,,,,2,WCG Asian Championship 2011 | Malaysia Invitational,observed_name_only,primary_only,WCG Asian Championship 2011 | Malaysia Invitational,
HANNAH MONTANA,liquipedia_player_infobox.id,HANNAH MONTANA,https://liquipedia.net/dota2/HANNAH_MONTANA,resolved_with_player_page_and_ids,high,89406397,76561198049672125 (derived),HANNAHMONTANA | HANNAH MONTANA,HANNAH MONTANA,Tony Talavera,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
Helvild,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,89797112,76561198050062840 (derived),Helvild,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Hengky,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Hengky,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
HOND,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,457765,76561197960723493 (derived),HOND,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
Honk,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Honk,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
hyhy,liquipedia_player_infobox.id,Hyhy,https://liquipedia.net/dota2/Hyhy,resolved_with_player_page_and_ids,high,87394977,76561198047660705 (derived),Hyhy | hyhy,hyhy | Hyhy,林汉勇,Benedict Lim Han Yong,5,The International 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1 | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Malaysia Invitational | The Premier League Season 1 | joinDOTA Masters IV,The International 2011
Ice,liquipedia_player_infobox.id,Ice (player),https://liquipedia.net/dota2/Ice_(player),resolved_with_player_page_and_ids,high,93670407,76561198053936135 (derived),Ice,Ice | Ice (player),蔡至财,Chua Chee Cai,3,Malaysia Invitational | Razer Dota 2 Tournament | joinDOTA Masters IV,player_page_infobox | teamcard_link | player_page_account_id,primary_only,Malaysia Invitational | Razer Dota 2 Tournament | joinDOTA Masters IV,
iceiceice,liquipedia_player_infobox.id,Iceiceice,https://liquipedia.net/dota2/Iceiceice,resolved_with_player_page_and_ids,high,84772440,76561198045038168 (derived),iceiceice,iceiceice | Lucifer | 冰冰冰 | Iceiceice,许培祥,Daryl Koh Pei Xiang,3,The International 2011 | The Defense Season 1 | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | joinDOTA Masters IV,The International 2011
immune,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,immune,,,,1,joinDOTA Masters I,observed_name_only,primary_only,joinDOTA Masters I,
Inmate,liquipedia_player_infobox.id,Inmate,https://liquipedia.net/dota2/Inmate,resolved_with_player_page_and_ids,high,77415789,76561198037681517 (derived),Inmate,Inmate | Inmateoo | Inmate0,Дмитрий Филинов,Dmitry Filinov,1,StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_only,StarLadder StarSeries Season 1,
inphinity,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,3246092,76561197963511820 (derived),inphinity,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
ixmike88,liquipedia_player_infobox.id,Ixmike88,https://liquipedia.net/dota2/Ixmike88,resolved_with_player_page_and_ids,high,86715129,76561198046980857 (derived),ixmike88,ixmike88 | Ixmike88,Michael Ghannam,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
Jeyo,liquipedia_player_infobox.id,Jeyo,https://liquipedia.net/dota2/Jeyo,resolved_with_player_page_and_ids,high,87360406,76561198047626134 (derived),Jeyo,Jeyo,Jio Madayag,,3,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | Infused Cup | Dota2Replays Brawl,
Julz,liquipedia_player_infobox.id,Julz,https://liquipedia.net/dota2/Julz,resolved_with_player_page_and_ids,high,256269737,76561198216535465 (derived),Julz,Julz,Julius De Leon,,5,The International 2011 | WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,player_page_infobox | player_page_account_id,primary_with_supplemental,WCG Asian Championship 2011 | Malaysia Invitational | The Premier League Season 1 | Razer Dota 2 Tournament,The International 2011
K4joy,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,K4joy,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
Kazu,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Kazu,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
Kebap,liquipedia_player_infobox.id,Kebap,https://liquipedia.net/dota2/Kebap,resolved_with_player_page_and_ids,high,34552614 | 96873088,76561197994818342 (derived) | 76561198057138816 (derived),Kebap,Kebap,Rene Warner,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id | manual_override_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
kekman,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,kekman,,,,2,Electronic Sports World Cup 2011 | DreamHack Winter 2011,observed_name_only,primary_only,Electronic Sports World Cup 2011 | DreamHack Winter 2011,
KeN,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,KeN,,,,1,Razer Dota 2 Tournament,observed_name_only,primary_only,Razer Dota 2 Tournament,
Kev-,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,87409544,76561198047675272 (derived),Kev-,,,,2,The International 2011 | The Defense Season 1,observed_name_only | manual_override_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
Kexxet,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Kexxet,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
KingJ,liquipedia_player_infobox.id,KingJ,https://liquipedia.net/dota2/KingJ,resolved_with_player_page_and_ids,high,89230834,76561198049496562 (derived),KingJ,KingJ,周扬,Zhou Yang,2,The Defense Season 1 | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1 | joinDOTA Masters IV,
Kio,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Kio,,,,1,Razer Dota 2 Tournament,observed_name_only,primary_only,Razer Dota 2 Tournament,
Knorre,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Knorre,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
KoeK,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,KoeK,,,,1,The Defense Season 1,observed_name_only,primary_only,The Defense Season 1,
Krexigor,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Krexigor,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
KuroKy,liquipedia_player_infobox.id,KuroKy,https://liquipedia.net/dota2/KuroKy,resolved_with_player_page_and_ids,high,82262664,76561198042528392 (derived),KuroKy,KuroKy | kky,Kuro Salehi Takhasomi,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
Kuronity,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,236517,76561197960502245 (derived),Kuronity | kuronity,,,,2,The Defense Season 1 | DreamHack Winter 2011,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | DreamHack Winter 2011,
kYxY,liquipedia_player_infobox.id,KYxY,https://liquipedia.net/dota2/KYxY,resolved_with_player_page_and_ids,high,91644707,76561198051910435 (derived),kYxY | KYxY,kYxY | KYxY,李康阳,Lee Kang Yang,6,The International 2011 | WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | Razer Dota 2 Tournament | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | Razer Dota 2 Tournament | joinDOTA Masters IV,The International 2011
Lacoste,liquipedia_player_infobox.id,Lacoste,https://liquipedia.net/dota2/Lacoste,resolved_with_player_page_and_ids,high,87264171,76561198047529899 (derived),Lacoste,Lacoste,Dominik Stipić,,3,The International 2011 | The Defense Season 1 | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | joinDOTA Masters I,The International 2011
Laged,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,41246809,76561198001512537 (derived),Laged,,,,1,The Defense Season 1,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1,
LaKelz,liquipedia_player_infobox.id,LaKelz,https://liquipedia.net/dota2/LaKelz,resolved_with_player_page_and_ids,high,91191397,76561198051457125 (derived),LaKelz,LaKelz | Lk,พิพัฒน์ ปริยชาติ,Pipat Prariyachat,4,The International 2011 | The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1 | Malaysia Invitational | joinDOTA Masters IV,The International 2011
Lambo,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Lambo,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
LaNm,liquipedia_player_infobox.id,LaNm,https://liquipedia.net/dota2/LaNm,resolved_with_player_page_and_ids,high,89423756,76561198049689484 (derived),LaNm | NUZ | PLT,LaNm | NUZ | PLT | old LaNm,张志成,Zhang Zhicheng,4,The International 2011 | Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | WCG Asian Championship 2011 | The Defense Season 1,The International 2011
Lapiz,liquipedia_player_infobox.id,Lapiz,https://liquipedia.net/dota2/Lapiz,resolved_with_player_page_and_ids,high,4330802,76561197964596530 (derived),Lapiz,Lapiz,Eetu Seppälä,,1,The Defense Season 1,player_page_infobox | player_page_account_id,primary_only,The Defense Season 1,
leaf,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,24106261,76561197984371989 (derived),leaf | Leaf,,,,3,The Defense Season 1 | JeeDota2 Championship #1 | joinDOTA Masters I,teamcard_link | teamcard_account_id,primary_only,The Defense Season 1 | JeeDota2 Championship #1 | joinDOTA Masters I,
LighTofHeaveN,liquipedia_player_infobox.id,LighTofHeaveN,https://liquipedia.net/dota2/LighTofHeaveN,resolved_with_player_page_and_ids,high,85716771 | 89326318,76561198045982499 (derived) | 76561198049592046 (derived),LighTofHeaveN,LighTofHeaveN | Light | Lost | LostMySelf | LoH,Дмитрий Куприянов,Dmitry Kupriyanov,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | Dota2 Star Championship | The Premier League Season 1 | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id | manual_override_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | The Premier League Season 1 | StarLadder StarSeries Season 1,The International 2011 | Dota2 Star Championship
LikeIGiveAFuck,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86736576,76561198047002304 (derived),LikeIGiveAFuck,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
ling,liquipedia_player_infobox.id,Ling,https://liquipedia.net/dota2/Ling,resolved_with_player_page_and_ids,high,89268488,76561198049534216 (derived),xiaoling | Ling,ling | Ling,,Cheong Sim Woi,5,The International 2011 | WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,WCG Asian Championship 2011 | The Defense Season 1 | Malaysia Invitational | The Premier League Season 1,The International 2011
Link,liquipedia_player_infobox.id,Link,https://liquipedia.net/dota2/Link,resolved_with_player_page_and_ids,high,20237599,76561197980503327 (derived),Link,Link | LINK | LinkLink,Sylvester Hoelgaard,,6,The International 2011 | Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,player_page_infobox | player_page_account_id,primary_with_supplemental,Electronic Sports World Cup 2011 | The Defense Season 1 | DreamHack Winter 2011 | The Premier League Season 1 | D2E Challenge,The International 2011
Lnkn,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Lnkn,,,,1,DreamHack Winter 2011,observed_name_only,primary_only,DreamHack Winter 2011,
Loda,liquipedia_player_infobox.id,Loda,https://liquipedia.net/dota2/Loda,resolved_with_player_page_and_ids,high,101495620,76561198061761348 (derived),Loda,Loda | Laoda | Lodaberg | LiveAndLetLoda | LordOfDolAmroth,Jonathan Emanuel Berg,,4,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1,player_page_infobox | player_page_account_id,primary_only,The Premier League Season 1 | D2E Challenge | Dota2Replays Brawl | StarLadder StarSeries Season 1,
Lonely-,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Lonely-,,,,1,WCG Asian Championship 2011,observed_name_only,primary_only,WCG Asian Championship 2011,
LuCKy,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,LuCKy | LuCky | LucKy,,,,3,Electronic Sports World Cup 2011 | D2E Challenge | joinDOTA Masters I,observed_name_only,primary_only,Electronic Sports World Cup 2011 | D2E Challenge | joinDOTA Masters I,
LuckYOne,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,86714927,76561198046980655 (derived),LuckYOne,,,,1,JeeDota2 Championship #1,teamcard_account_id,primary_only,JeeDota2 Championship #1,
LuX,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,LuX,,,,1,Malaysia Invitational,observed_name_only,primary_only,Malaysia Invitational,
Ly0n,tournament_teamcard.observed_name,,,resolved_with_teamcard_account_id_only,medium,97170605,76561198057436333 (derived),Ly0n,,,,3,The Defense Season 1 | Infused Cup | joinDOTA Masters I,observed_name_only | manual_override_account_id,primary_only,The Defense Season 1 | Infused Cup | joinDOTA Masters I,
Lyon,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Lyon,,,,1,The Premier League Season 1,observed_name_only,primary_only,The Premier League Season 1,
Maelk,liquipedia_player_infobox.id,Maelk,https://liquipedia.net/dota2/Maelk,resolved_with_player_page_and_ids,high,59457413,76561198019723141 (derived),Maelk,"Maelk | Milk | MYM.Maelk | ""Ma lek"" | EG.Maelk[RC]",Jacob Toft-Andersen,,2,The International 2011 | The Defense Season 1,player_page_infobox | player_page_account_id,primary_with_supplemental,The Defense Season 1,The International 2011
Mag,liquipedia_player_infobox.id,Mag~,https://liquipedia.net/dota2/Mag~,resolved_with_player_page_and_ids,high,86802844,76561198047068572 (derived),Mag~,Mag | Mag~,Андрій Чіпенко,Andrij Chipenko,2,Dota2 Star Championship | joinDOTA Masters I,player_page_infobox | player_page_account_id,primary_with_supplemental,joinDOTA Masters I,Dota2 Star Championship
Maldejambes,tournament_teamcard.observed_name,,,unresolved_name_only,low,,,Maldejambes,,,,2,The International 2011 | Electronic Sports World Cup 2011,observed_name_only,primary_with_supplemental,Electronic Sports World Cup 2011,The International 2011
